id,first_name,last_name,age,gender,birth_year,marital_status,education_level,employment_status,occupation,annual_income,household_size,location,full_address,phone_number,email,temperament_type,temperament_description,temperament_traits,country,locale
193c9cd9,George,Bibi,84,Male,1942,Domestic partnership,"Some college, no degree",Retired,,43771,2,Campbellberg,"853 Moore Street, Rogerstown, RH66 8XB",+44(0)8081570577,rking@example.org,Calm,"Even-tempered, rarely shows strong emotions","peaceful, composed, steady",United Kingdom,en_GB
1a83c3a6,Sian,Morton,47,Female,1979,Married,High school diploma/GED,Employed full-time,"Research officer, trade union",40680,5,Victoriafort,"136 Fourth Lane, Simonberg, SL7 4WN",+44(0)1134960011,atkinsonphillip@example.net,Aggressive,"Quick to anger, confrontational","assertive, forceful, competitive",United Kingdom,en_GB
0a51fb3a,Rosemary,Scott,64,Female,1962,Separated,Associate degree,Unemployed,,10487,2,West Michael,"965 Law Close, Collinsmouth, SA3A 8SN",+44(0)1632 960374,kayleighjames@example.org,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
cfa2e444,Valerie,Andrews,89,Female,1937,Married,Less than high school,Employed part-time,Hydrographic surveyor,37245,2,Jadeview,"965 Rose Road, New Gemma, SP8B 6HJ",+44161 496 0526,andreaparsons@example.net,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
029ac451,Melissa,Reed,52,Female,1974,Married,Associate degree,Unemployed,,14905,2,East Aimee,"813 Lydia Street, East John, E0E 7HW",0909 8790475,ksmith@example.net,Outgoing,"Social, enjoys being around people","social, extroverted, friendly",United Kingdom,en_GB
2d17fb30,Maureen,Parkin,59,Female,1967,Married,High school diploma/GED,Employed full-time,Local government officer,30069,1,Lake Jenniferbury,"421 Daisy Terrace, West Henry, S2 8DT",0808 157 0533,melissa60@example.org,Outgoing,"Social, enjoys being around people","social, extroverted, friendly",United Kingdom,en_GB
ced8ebdc,Raymond,Banks,88,Male,1938,Divorced,Bachelor's degree,Retired,,43213,1,Lake Edwardberg,"618 Daisy Terrace, South Lynn, N77 8RW",+44113 496 0242,crawfordcraig@example.net,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
51ac2bcf,Jay,Green,45,Male,1981,Single,High school diploma/GED,Employed full-time,Geoscientist,47267,5,North Kenneth,"976 Kennedy Lane, Lake Helen, TA4 1TT",+44(0)161 4960428,rickyreed@example.com,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
b60beb82,Josh,Wright,38,Male,1988,Single,"Some college, no degree",Employed full-time,Structural engineer,35857,3,West Lucy,"197 Forest Close, Reestown, GY9W 4PP",01184960469,jane41@example.net,Calm,"Even-tempered, rarely shows strong emotions","peaceful, composed, steady",United Kingdom,en_GB
df02db87,Louise,Turner,27,Female,1999,Single,Associate degree,Employed full-time,Facilities manager,42030,1,Pearsonstad,"684 Kennedy Lane, Port Jillchester, S5W 8HG",01154960885,carterian@example.net,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
7397c9a9,Carolyn,Roberts,74,Female,1952,Divorced,Doctoral degree,Retired,,40642,2,West Nicolahaven,"848 School Terrace, Mistryberg, SM18 1PP",+44(0)141 4960711,coxalex@example.org,Optimistic,"Generally positive outlook, sees the good in situations","positive, hopeful, cheerful",United Kingdom,en_GB
8ca68a78,Beverley,Lees,53,Female,1973,Divorced,Less than high school,Homemaker,,43801,1,North Patrickview,"243 Ian Close, Port Marcus, ME27 9LJ",(0118) 496 0201,angela64@example.com,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
625184e6,Julie,Todd,41,Female,1985,Married,Less than high school,Employed full-time,Water engineer,35016,3,East Marcus,"798 Carroll Close, West Mandy, B75 8UD",+44117 4960452,parkesjenna@example.net,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
9aa27283,Clive,Bradley,32,Male,1994,Single,Master's degree,Employed part-time,Professor Emeritus,15349,4,North Trevor,"350 Rice Close, Port Elliotburgh, BR6X 1BA",+441164960641,gerardmiah@example.net,Pessimistic,"Tends to focus on negative aspects, expects the worst","negative, doubtful, cynical",United Kingdom,en_GB
dc8ef7e2,Marc,Harper,51,Male,1975,Single,"Some college, no degree",Employed full-time,Acupuncturist,64635,1,North Kate,"519 Philip Crescent, Rosemouth, WA64 4WL",+44(0)191 496 0714,whitesylvia@example.net,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
650562ec,Gordon,Jones,28,Male,1998,Married,Bachelor's degree,Employed full-time,"Editor, magazine features",83068,2,East Jessicachester,"911 Rice Close, Leechester, L2F 9AZ",+44(0)3069990431,russelldeborah@example.org,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
51951e2d,Lawrence,Field,73,Male,1953,Married,Associate degree,Retired,,37815,3,Angelashire,"713 Park Road, Kirbyburgh, KA2P 2FJ",+44113 496 0143,georgeakhtar@example.org,Optimistic,"Generally positive outlook, sees the good in situations","positive, hopeful, cheerful",United Kingdom,en_GB
ae585772,Victoria,Payne,73,Female,1953,Married,High school diploma/GED,Retired,,46398,1,New Neil,"772 North Square, Wilkinsonfort, L87 1FX",+441614960499,douglas74@example.net,Aggressive,"Quick to anger, confrontational","assertive, forceful, competitive",United Kingdom,en_GB
8e178e1c,Carol,Conway,32,Female,1994,Married,Master's degree,Employed part-time,Pharmacologist,35338,3,Grahamside,"418 Ward Terrace, Michellemouth, PH5 1SU",+44(0)113 496 0147,deangrant@example.net,Outgoing,"Social, enjoys being around people","social, extroverted, friendly",United Kingdom,en_GB
af65c0c6,Roy,Griffiths,43,Male,1983,Married,High school diploma/GED,Employed full-time,Haematologist,33002,3,Paulachester,"68 Forest Close, Jamiehaven, HA4 8HH",+4428 9018 0673,angelaphillips@example.net,Aggressive,"Quick to anger, confrontational","assertive, forceful, competitive",United Kingdom,en_GB
3cb01568,Sandra,Howell,69,Female,1957,Divorced,Master's degree,Homemaker,,67922,1,Smithborough,"735 West Grove, North Bethanberg, AB9 8YW",029 2018 0916,fbarton@example.org,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
12cb9d54,Christian,Parsons,59,Male,1967,Single,"Some college, no degree",Employed full-time,Software engineer,53339,2,Wrightfort,"961 East Terrace, New Maurice, ME2 0GT",+44(0)1632 960542,jsmart@example.com,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
e7b38edc,Elizabeth,Clarke,73,Female,1953,Married,Bachelor's degree,Disabled,,69394,1,West Hugh,"804 Patrick Gardens, Martinbury, WD52 9LW",0151 4960907,dconnolly@example.net,Calm,"Even-tempered, rarely shows strong emotions","peaceful, composed, steady",United Kingdom,en_GB
3cbe707f,Frank,Bell,95,Male,1931,Married,"Some college, no degree",Retired,,33715,3,South Damianton,"175 Oak Street, Abdulstad, UB7 2WA",(0113) 4960557,cunninghamjamie@example.org,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
73113822,Lesley,Young,24,Female,2002,Single,High school diploma/GED,Unemployed,,11130,1,Lake Andrew,"158 Rose Road, Clarkebury, LL3E 4HE",0115 496 0143,joelpatel@example.net,Aggressive,"Quick to anger, confrontational","assertive, forceful, competitive",United Kingdom,en_GB
5df74a39,Wayne,Hussain,50,Male,1976,Single,High school diploma/GED,Employed full-time,"Administrator, arts",45697,1,Port Jessicahaven,"618 Third Square, East Bruceshire, L41 9UQ",(0306) 9990788,clewis@example.com,Optimistic,"Generally positive outlook, sees the good in situations","positive, hopeful, cheerful",United Kingdom,en_GB
aa321bec,Annette,Forster,66,Female,1960,Married,High school diploma/GED,Retired,,41895,1,Goodwinhaven,"760 Hill Terrace, West Anna, S2W 9ZT",(0808) 157 0887,samanthawhite@example.org,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
a328dd08,Beth,Parkinson,35,Female,1991,Married,"Some college, no degree",Employed full-time,"Lecturer, further education",55996,3,Amandabury,"271 Park Street, Martinbury, N46 0GR",(0191)4960702,gerard58@example.org,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
6047c5c7,Jemma,Cooper,31,Female,1995,Single,Master's degree,Employed part-time,"Lighting technician, broadcasting/film/video",19164,4,Alicemouth,"947 Lydia Street, West Rita, PO74 1XJ",+44(0)306 9990975,bhawkins@example.com,Reserved,"Quiet, prefers solitude or small groups","introverted, quiet, private",United Kingdom,en_GB
af3ed8b2,Angela,Hobbs,66,Female,1960,Domestic partnership,Associate degree,Retired,,56654,1,Priceport,"505 Law Close, Williamsberg, TA8 7ST",(0117) 496 0751,susanpearce@example.net,Aggressive,"Quick to anger, confrontational","assertive, forceful, competitive",United Kingdom,en_GB
99efc132,Jennifer,Anderson,60,Female,1966,Married,High school diploma/GED,Employed full-time,Insurance broker,30706,2,West Lawrencefurt,"506 Forest Close, Brendamouth, SM8N 0TL",(0191) 496 0930,lisascott@example.net,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
2f68b7ee,Tom,Foster,39,Male,1987,Married,Associate degree,Employed full-time,Musician,59785,4,East Mohammadville,"90 West Street, Lake Adrian, LD18 5HN",+44(0)909 8790224,sdavies@example.org,Pessimistic,"Tends to focus on negative aspects, expects the worst","negative, doubtful, cynical",United Kingdom,en_GB
0ae72cc1,Lewis,Richardson,53,Male,1973,Married,Professional degree,Employed part-time,"Surveyor, rural practice",19217,2,Walshborough,"625 Reynolds Lane, Shannonmouth, G9F 3SY",(0808) 1570819,barkeradam@example.net,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
462e89fd,Stuart,Booth,23,Male,2003,Single,High school diploma/GED,Employed part-time,Youth worker,24262,2,West Carolinechester,"183 West Road, Lake Jennafort, M33 9BU",+44118 496 0189,ameliaalexander@example.com,Analytical,"Logical, thinks things through carefully","logical, methodical, rational",United Kingdom,en_GB
d3cb6ed6,Natalie,Murphy,21,Female,2005,Single,High school diploma/GED,Employed part-time,"Psychologist, counselling",38914,1,Port Diane,"563 Maple Square, Annettetown, B2 2FS",01184960872,kevinwatkins@example.net,Outgoing,"Social, enjoys being around people","social, extroverted, friendly",United Kingdom,en_GB
7c7ea377,Jacob,King,65,Male,1961,Married,"Some college, no degree",Retired,,52375,2,East Joycetown,"568 South Crescent, Humphrieschester, DN36 5YZ",01184960366,kemplynda@example.org,Outgoing,"Social, enjoys being around people","social, extroverted, friendly",United Kingdom,en_GB
df036821,Megan,Nolan,66,Female,1960,Married,High school diploma/GED,Retired,,30394,1,Port Jamieland,"58 Fifth Avenue, Francisberg, SW0P 1NX",(0151) 496 0378,ross55@example.net,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
819d2257,Elliott,Davies,50,Male,1976,Married,Master's degree,Employed full-time,Insurance risk surveyor,124159,1,New Frederickmouth,"242 North Square, New Katyville, S5 6DZ",+44(0)1514960224,lynda13@example.com,Reserved,"Quiet, prefers solitude or small groups","introverted, quiet, private",United Kingdom,en_GB
0df62208,Alison,Shaw,47,Female,1979,Single,High school diploma/GED,Employed full-time,"Engineer, control and instrumentation",44131,3,Bennettside,"849 Fourth Lane, Adamshaven, B55 5AH",01164960738,geraldinecole@example.net,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
a5346a92,Hollie,Humphries,27,Female,1999,Married,Bachelor's degree,Employed full-time,Metallurgist,63183,1,Williamsmouth,"977 Kirsty Grove, North Glenbury, S4 0WH",0808 1570519,jay33@example.com,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
3088ff7c,Carolyn,Foster,72,Female,1954,Widowed,Associate degree,Homemaker,,45946,1,Holmesview,"455 Lake Close, New Guy, W8 7PR",+441632 960 430,kellybrian@example.org,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
6d063b79,Andrew,Morgan,59,Male,1967,Married,High school diploma/GED,Employed full-time,"Social research officer, government",49916,1,Arthurfurt,"518 Carroll Close, Wilkinsonville, SK6 3JG",+441314960445,thompsonderek@example.net,Outgoing,"Social, enjoys being around people","social, extroverted, friendly",United Kingdom,en_GB
e3b5b8d7,Oliver,Smith,94,Male,1932,Widowed,High school diploma/GED,Employed part-time,Media planner,29112,2,Georgiaside,"99 Hill Terrace, Port Deborahville, DY06 7SB",+44(0)1632 960868,margaret56@example.com,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
084e6b32,June,Knowles,51,Female,1975,Married,Less than high school,Homemaker,,38585,3,Thomasview,"535 Georgina Grove, Vanessaport, N57 4YP",+44(0)909 8790727,hamiltonkayleigh@example.com,Optimistic,"Generally positive outlook, sees the good in situations","positive, hopeful, cheerful",United Kingdom,en_GB
004a3a12,Katherine,Cole,48,Female,1978,Married,Bachelor's degree,Employed full-time,Further education lecturer,90951,3,Antonyville,"946 Norton Square, Tomberg, NN2X 9XW",+44292018450,clivewebb@example.org,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
b783b9be,Tony,Burke,42,Male,1984,Married,"Some college, no degree",Homemaker,,60312,2,Thomsonfort,"323 Amy Gardens, Lake Harryfort, CT0 6AQ",0131 4960434,alex52@example.org,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
4cc57d1a,Joanne,Stevens,39,Female,1987,Single,Bachelor's degree,Employed full-time,Newspaper journalist,85339,3,North Lukeview,"822 Third Close, Janetberg, S6C 8BL",(0131) 496 0743,astevens@example.org,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
9dd81ae9,Josh,Booth,51,Male,1975,Married,Doctoral degree,Employed part-time,Occupational psychologist,33465,2,South Fionaside,"912 Church Crescent, Lake Gary, HD0 9SQ",(0151) 4960645,emma19@example.org,Analytical,"Logical, thinks things through carefully","logical, methodical, rational",United Kingdom,en_GB
9c3ad688,Laura,Edwards,66,Female,1960,Widowed,"Some college, no degree",Retired,,31327,2,Leebury,"563 North Close, Owenberg, SM9M 7GX",0292018344,gtodd@example.com,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
a2c97c16,Terence,McCarthy,66,Male,1960,Divorced,Master's degree,Retired,,21396,2,Port Stanleybury,"386 West Street, North Josh, M32 5TY",+44(0)116 496 0156,gilestimothy@example.net,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
6ca87a40,Hugh,Taylor,44,Male,1982,Domestic partnership,Master's degree,Employed full-time,"Investment banker, corporate",103372,3,Port Shirley,"779 Hill Terrace, Michellebury, IG4 9PY",+44(0)808 157 0621,joanfoster@example.net,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
0e19c371,Arthur,Leach,39,Male,1987,Single,"Some college, no degree",Employed full-time,Wellsite geologist,36180,3,Ricetown,"197 Rose Road, Port Stewart, PR9 6WR",029 2018347,brian46@example.com,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
5ea7f5b7,Sandra,Scott,27,Female,1999,Married,High school diploma/GED,Disabled,,45934,1,Lake Oliviaside,"506 Garden Terrace, Austinland, AB3V 9SR",(0121) 4960138,kieran43@example.com,Pessimistic,"Tends to focus on negative aspects, expects the worst","negative, doubtful, cynical",United Kingdom,en_GB
dfa1ee36,Rebecca,Field,71,Female,1955,Single,High school diploma/GED,Retired,,29941,3,Gracemouth,"405 Moore Street, New Jacqueline, B6 3NE",+44114 496 0266,ythompson@example.net,Impulsive,"Acts on instinct, makes quick decisions","spontaneous, instinctive, reactive",United Kingdom,en_GB
b0595a8a,Danielle,Kelly,74,Female,1952,Widowed,Associate degree,Retired,,32221,1,Bibimouth,"295 Maple Square, Port Joshuamouth, CV4E 9HN",+44909 879 0905,adrian04@example.org,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
d3adf0b9,Brandon,Phillips,19,Male,2007,Single,High school diploma/GED,Employed part-time,Trade union research officer,31375,3,North Wendyview,"135 Norton Square, Shirleyton, G86 9QG",09098790454,danielle40@example.com,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
94054ff5,Leigh,Rose,38,Male,1988,Married,Bachelor's degree,Employed full-time,Electronics engineer,55036,2,Adamtown,"766 East Terrace, Allenstad, N6 2BZ",(0161) 4960418,malcolm69@example.org,Pessimistic,"Tends to focus on negative aspects, expects the worst","negative, doubtful, cynical",United Kingdom,en_GB
d6b28794,Clive,Ball,85,Male,1941,Married,Bachelor's degree,Retired,,24157,3,Fullerhaven,"912 West Road, Lake Claire, W1C 3ZX",09098790718,denise42@example.org,Pessimistic,"Tends to focus on negative aspects, expects the worst","negative, doubtful, cynical",United Kingdom,en_GB
ad3bf401,Stewart,Hall,30,Male,1996,Single,Bachelor's degree,Retired,,38132,1,Parryview,"902 Rose Road, East Danielleburgh, BA3 8LH",+44(0)118 4960915,benjamin73@example.com,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
9bd046b5,Natalie,Williams,18,Female,2008,Single,Less than high school,Employed part-time,Information systems manager,21121,4,Murphytown,"45 Carroll Close, Port Andrew, PR3V 1GJ",+44(0)117 496 0934,harry77@example.org,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
e8af4d25,Tina,Dean,88,Female,1938,Married,"Some college, no degree",Retired,,53389,3,West Janet,"265 North Close, Port Gareth, W77 2GA",(0113)4960372,pateljade@example.org,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
d8dbf253,Gerard,Evans,37,Male,1989,Married,Bachelor's degree,Employed full-time,Prison officer,52656,1,Nigelchester,"667 Forest Close, West Julie, M4K 9FR",(020)74960196,dianataylor@example.com,Reserved,"Quiet, prefers solitude or small groups","introverted, quiet, private",United Kingdom,en_GB
bcbc33fc,Alison,Cox,51,Female,1975,Married,Associate degree,Employed full-time,Retail banker,71873,1,West Fiona,"625 West Square, North Irene, JE6 8QW",01614960765,hodgsonangela@example.com,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
21391b86,Alice,Evans,74,Female,1952,Married,Less than high school,Employed full-time,Air broker,27785,1,West Jayneburgh,"288 Rose Road, Scottchester, NE4W 7RT",0191 4960919,christianrogers@example.org,Reserved,"Quiet, prefers solitude or small groups","introverted, quiet, private",United Kingdom,en_GB
aabac44e,Kathryn,Ali,37,Female,1989,Single,High school diploma/GED,Employed full-time,Chiropractor,33616,2,Port Douglasborough,"94 West Square, South Lesley, S7S 8HP",+44(0)131 4960819,ujenkins@example.com,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
f46af711,Stanley,Willis,25,Male,2001,Single,Associate degree,Employed full-time,Pathologist,32418,1,South Dawnborough,"752 West Grove, East Damien, CO32 6NE",01314960689,fisherbethany@example.com,Reserved,"Quiet, prefers solitude or small groups","introverted, quiet, private",United Kingdom,en_GB
6e9580c0,Callum,Whittaker,50,Male,1976,Married,High school diploma/GED,Employed full-time,Chief Financial Officer,53328,2,East Paula,"579 Deborah Square, Melissaland, M9 5UW",0118 496 0288,daniel78@example.com,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
76359982,Amber,Davison,38,Female,1988,Married,Bachelor's degree,Employed full-time,"Production assistant, radio",73820,3,New Frankmouth,"557 Third Close, Woodchester, G33 1YF",+44121 496 0898,donnacox@example.net,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
317efde9,Diane,Green,79,Female,1947,Married,High school diploma/GED,Retired,,41805,2,Nicholsonbury,"422 North Close, Francismouth, E9 9DP",+44(0)1632960089,suttonandrea@example.net,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
2ec06c1d,Brenda,Carey,21,Female,2005,Married,Associate degree,Employed part-time,Personnel officer,37948,2,Lake Damienfurt,"600 Church Gardens, North Bryanland, G1H 7XU",+44113 496 0036,katehill@example.org,Ambitious,"Driven, goal-oriented","motivated, determined, focused",United Kingdom,en_GB
ee6fe198,Rachel,Smart,26,Female,2000,Married,"Some college, no degree",Employed full-time,"Nurse, adult",59412,4,Traceybury,"267 Third Square, West Bethany, UB7 6LR",0131 4960368,gordonhowells@example.net,Anxious,Prone to worry and nervousness,"worried, nervous, apprehensive",United Kingdom,en_GB
51409a01,Jade,Miller,53,Female,1973,Single,High school diploma/GED,Employed part-time,Software engineer,30928,1,Ahmedshire,"450 Fourth Lane, Melaniestad, SN3R 4TS",01144960367,ashley59@example.net,Patient,"Tolerant, slow to anger","tolerant, understanding, gentle",United Kingdom,en_GB
67c00488,Denis,Jones,32,Male,1994,Single,Associate degree,Employed full-time,Retail merchandiser,45930,1,East Leon,"618 Lydia Street, Littleburgh, L6 1XE",(020)74960156,patriciataylor@example.org,Laid-back,"Relaxed, goes with the flow","relaxed, easygoing, flexible",United Kingdom,en_GB
